"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 10 18:22:04 GMT 2024","Wed Jan 10 18:22:04 GMT 2024","0","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Wed Jan 10 18:22:07 GMT 2024","Wed Jan 10 18:22:08 GMT 2024","1208","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Wed Jan 10 18:22:02 GMT 2024","Wed Jan 10 18:22:02 GMT 2024","0","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
