"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 10 18:34:43 GMT 2024","Wed Jan 10 18:34:43 GMT 2024","0","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Wed Jan 10 18:34:41 GMT 2024","Wed Jan 10 18:34:41 GMT 2024","0","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Wed Jan 10 18:34:46 GMT 2024","Wed Jan 10 18:34:47 GMT 2024","1154","test","test_hootel","TestHootel","","","test_hotel_list",""
