"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 10 18:12:11 GMT 2024","Wed Jan 10 18:12:11 GMT 2024","155","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Wed Jan 10 18:12:15 GMT 2024","Wed Jan 10 18:12:17 GMT 2024","1141","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Wed Jan 10 18:12:13 GMT 2024","Wed Jan 10 18:12:13 GMT 2024","23","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
