"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 10 18:39:04 GMT 2024","Wed Jan 10 18:39:05 GMT 2024","1060","test","test_hootel","TestHootel","","","test_hotel_list",""
"passed","Wed Jan 10 18:38:50 GMT 2024","Wed Jan 10 18:38:52 GMT 2024","1883","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Wed Jan 10 18:38:55 GMT 2024","Wed Jan 10 18:39:02 GMT 2024","6899","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
